Sample,Dimension,Sobol,Faure,Uniform
1,1,0.48437500,0.79245283,0.37454011
1,2,0.82812500,0.79245283,0.79654298
1,3,0.51562500,0.79245283,0.95071431
1,4,0.23437500,0.79245283,0.18343479
1,5,0.95312500,0.79245283,0.73199394
1,6,0.98437500,0.79245283,0.77969100
1,7,0.48437500,0.79245283,0.59865849
1,8,0.10937500,0.79245283,0.59685016
1,9,0.29687500,0.79245283,0.15601864
1,10,0.10937500,0.79245283,0.44583276
1,11,0.57812500,0.79245283,0.15599452
1,12,0.64062500,0.79245283,0.09997492
1,13,0.26562500,0.79245283,0.05808361
1,14,0.79687500,0.79245283,0.45924889
1,15,0.42187500,0.79245283,0.86617615
1,16,0.17187500,0.79245283,0.33370861
1,17,0.73437500,0.79245283,0.60111501
1,18,0.10937500,0.79245283,0.14286681
1,19,0.85937500,0.79245283,0.70807258
1,20,0.07812500,0.79245283,0.65088847
1,21,0.64062500,0.79245283,0.02058450
1,22,0.26562500,0.79245283,0.05641158
1,23,0.60937500,0.79245283,0.96990985
1,24,0.95312500,0.79245283,0.72199877
1,25,0.60937500,0.79245283,0.83244264
1,26,0.42187500,0.79245283,0.93855271
1,27,0.48437500,0.79245283,0.21233911
1,28,0.20312500,0.79245283,0.00077876
1,29,0.32812500,0.79245283,0.18182497
1,30,0.04687500,0.79245283,0.99221156
1,31,0.04687500,0.79245283,0.18340451
1,32,0.57812500,0.79245283,0.61748151
1,33,0.17187500,0.79245283,0.30424224
1,34,0.54687500,0.79245283,0.61165316
1,35,0.17187500,0.79245283,0.52475644
1,36,0.67187500,0.79245283,0.00706631
1,37,0.20312500,0.79245283,0.43194502
1,38,0.85937500,0.79245283,0.02306243
1,39,0.51562500,0.79245283,0.29122914
1,40,0.14062500,0.79245283,0.52477466
1,41,0.14062500,0.79245283,0.61185290
1,42,0.82812500,0.79245283,0.39986098
1,43,0.64062500,0.79245283,0.13949386
1,44,0.26562500,0.79245283,0.04666567
1,45,0.73437500,0.79245283,0.29214465
1,46,0.10937500,0.79245283,0.97375552
1,47,0.79687500,0.79245283,0.36636185
1,48,0.45312500,0.79245283,0.23277134
1,49,0.07812500,0.79245283,0.45606999
1,50,0.26562500,0.79245283,0.09060644
2,1,0.35937500,0.81132075,0.78517596
2,2,0.45312500,0.81132075,0.61838601
2,3,0.89062500,0.81132075,0.19967378
2,4,0.10937500,0.81132075,0.38246199
2,5,0.82812500,0.81132075,0.51423444
2,6,0.60937500,0.81132075,0.98323089
2,7,0.85937500,0.81132075,0.59241457
2,8,0.73437500,0.81132075,0.46676290
2,9,0.92187500,0.81132075,0.04645041
2,10,0.98437500,0.81132075,0.85994040
2,11,0.20312500,0.81132075,0.60754485
2,12,0.51562500,0.81132075,0.68030754
2,13,0.89062500,0.81132075,0.17052412
2,14,0.67187500,0.81132075,0.45049925
2,15,0.29687500,0.81132075,0.06505159
2,16,0.04687500,0.81132075,0.01326496
2,17,0.60937500,0.81132075,0.94888553
2,18,0.23437500,0.81132075,0.94220175
2,19,0.48437500,0.81132075,0.96563204
2,20,0.95312500,0.81132075,0.56328821
2,21,0.26562500,0.81132075,0.80839735
2,22,0.14062500,0.81132075,0.38541651
2,23,0.23437500,0.81132075,0.30461377
2,24,0.82812500,0.81132075,0.01596626
2,25,0.73437500,0.81132075,0.09767212
2,26,0.79687500,0.81132075,0.23089382
2,27,0.85937500,0.81132075,0.68423303
2,28,0.82812500,0.81132075,0.24102547
2,29,0.70312500,0.81132075,0.44015249
2,30,0.42187500,0.81132075,0.68326352
2,31,0.67187500,0.81132075,0.12203823
2,32,0.45312500,0.81132075,0.60999666
2,33,0.04687500,0.81132075,0.49517691
2,34,0.17187500,0.81132075,0.83319491
2,35,0.79687500,0.81132075,0.03438852
2,36,0.29687500,0.81132075,0.17336465
2,37,0.32812500,0.81132075,0.90932040
2,38,0.98437500,0.81132075,0.39106061
2,39,0.14062500,0.81132075,0.25877998
2,40,0.01562500,0.81132075,0.18223609
2,41,0.01562500,0.81132075,0.66252228
2,42,0.20312500,0.81132075,0.75536141
2,43,0.26562500,0.81132075,0.31171107
2,44,0.39062500,0.81132075,0.42515588
2,45,0.10937500,0.81132075,0.52006802
2,46,0.98437500,0.81132075,0.20794166
2,47,0.67187500,0.81132075,0.54671028
2,48,0.57812500,0.81132075,0.56770033
2,49,0.45312500,0.81132075,0.18485446
2,50,0.39062500,0.81132075,0.03131329
3,1,0.85937500,0.83018868,0.96958463
3,2,0.95312500,0.83018868,0.84228477
3,3,0.39062500,0.83018868,0.77513283
3,4,0.60937500,0.83018868,0.44975413
3,5,0.32812500,0.83018868,0.93949894
3,6,0.10937500,0.83018868,0.39515023
3,7,0.35937500,0.83018868,0.89482735
3,8,0.23437500,0.83018868,0.92665886
3,9,0.42187500,0.83018868,0.59789998
3,10,0.48437500,0.83018868,0.72727200
3,11,0.70312500,0.83018868,0.92187424
3,12,0.01562500,0.83018868,0.32654077
3,13,0.39062500,0.83018868,0.08849250
3,14,0.17187500,0.83018868,0.57044398
3,15,0.79687500,0.83018868,0.19598286
3,16,0.54687500,0.83018868,0.52083427
3,17,0.10937500,0.83018868,0.04522729
3,18,0.73437500,0.83018868,0.96117203
3,19,0.98437500,0.83018868,0.32533033
3,20,0.45312500,0.83018868,0.84453385
3,21,0.76562500,0.83018868,0.38867729
3,22,0.64062500,0.83018868,0.74732011
3,23,0.73437500,0.83018868,0.27134903
3,24,0.32812500,0.83018868,0.53969213
3,25,0.23437500,0.83018868,0.82873751
3,26,0.29687500,0.83018868,0.58675117
3,27,0.35937500,0.83018868,0.35675333
3,28,0.32812500,0.83018868,0.96525531
3,29,0.20312500,0.83018868,0.28093451
3,30,0.92187500,0.83018868,0.60703425
3,31,0.17187500,0.83018868,0.54269609
3,32,0.95312500,0.83018868,0.27599918
3,33,0.54687500,0.83018868,0.14092422
3,34,0.67187500,0.83018868,0.29627351
3,35,0.29687500,0.83018868,0.80219698
3,36,0.79687500,0.83018868,0.16526694
3,37,0.82812500,0.83018868,0.07455064
3,38,0.48437500,0.83018868,0.01563640
3,39,0.64062500,0.83018868,0.98688693
3,40,0.51562500,0.83018868,0.42340148
3,41,0.51562500,0.83018868,0.77224477
3,42,0.70312500,0.83018868,0.39488152
3,43,0.76562500,0.83018868,0.19871568
3,44,0.89062500,0.83018868,0.29348818
3,45,0.60937500,0.83018868,0.00552212
3,46,0.48437500,0.83018868,0.01407982
3,47,0.17187500,0.83018868,0.81546143
3,48,0.07812500,0.83018868,0.19884240
3,49,0.95312500,0.83018868,0.70685734
3,50,0.89062500,0.83018868,0.71134195
4,1,0.60937500,0.84905660,0.72900716
4,2,0.20312500,0.84905660,0.79017554
4,3,0.64062500,0.84905660,0.77127034
4,4,0.35937500,0.84905660,0.60595998
4,5,0.07812500,0.84905660,0.07404465
4,6,0.35937500,0.84905660,0.92630088
4,7,0.60937500,0.84905660,0.35846573
4,8,0.48437500,0.84905660,0.65107703
4,9,0.17187500,0.84905660,0.11586905
4,10,0.23437500,0.84905660,0.91495968
4,11,0.95312500,0.84905660,0.86310342
4,12,0.26562500,0.84905660,0.85003858
4,13,0.64062500,0.84905660,0.62329813
4,14,0.92187500,0.84905660,0.44945067
4,15,0.54687500,0.84905660,0.33089802
4,16,0.29687500,0.84905660,0.09541012
4,17,0.35937500,0.84905660,0.06355835
4,18,0.48437500,0.84905660,0.37081826
4,19,0.73437500,0.84905660,0.31098232
4,20,0.70312500,0.84905660,0.66884126
4,21,0.01562500,0.84905660,0.32518332
4,22,0.89062500,0.84905660,0.66592235
4,23,0.48437500,0.84905660,0.72960617
4,24,0.57812500,0.84905660,0.59129779
4,25,0.98437500,0.84905660,0.63755747
4,26,0.04687500,0.84905660,0.27472179
4,27,0.60937500,0.84905660,0.88721274
4,28,0.07812500,0.84905660,0.56124342
4,29,0.95312500,0.84905660,0.47221492
4,30,0.67187500,0.84905660,0.38292687
4,31,0.92187500,0.84905660,0.11959424
4,32,0.20312500,0.84905660,0.97171209
4,33,0.29687500,0.84905660,0.71324478
4,34,0.92187500,0.84905660,0.84891382
4,35,0.04687500,0.84905660,0.76078504
4,36,0.54687500,0.84905660,0.72172952
4,37,0.07812500,0.84905660,0.56127720
4,38,0.73437500,0.84905660,0.23598492
4,39,0.39062500,0.84905660,0.77096719
4,40,0.26562500,0.84905660,0.25606832
4,41,0.26562500,0.84905660,0.49379560
4,42,0.95312500,0.84905660,0.04043359
4,43,0.01562500,0.84905660,0.52273283
4,44,0.14062500,0.84905660,0.71066289
4,45,0.85937500,0.84905660,0.42754102
4,46,0.73437500,0.84905660,0.11089083
4,47,0.92187500,0.84905660,0.02541913
4,48,0.82812500,0.84905660,0.43933651
4,49,0.70312500,0.84905660,0.10789143
4,50,0.64062500,0.84905660,0.20171921
5,1,0.10937500,0.86792453,0.03142919
5,2,0.70312500,0.86792453,0.89576360
5,3,0.14062500,0.86792453,0.63641041
5,4,0.85937500,0.86792453,0.47537022
5,5,0.57812500,0.86792453,0.31435598
5,6,0.85937500,0.86792453,0.56327557
5,7,0.10937500,0.86792453,0.50857069
5,8,0.98437500,0.86792453,0.69551608
5,9,0.67187500,0.86792453,0.90756648
5,10,0.73437500,0.86792453,0.13933145
5,11,0.45312500,0.86792453,0.24929223
5,12,0.76562500,0.86792453,0.60441738
5,13,0.14062500,0.86792453,0.41038292
5,14,0.42187500,0.86792453,0.53984109
5,15,0.04687500,0.86792453,0.75555114
5,16,0.79687500,0.86792453,0.20306123
5,17,0.85937500,0.86792453,0.22879816
5,18,0.98437500,0.86792453,0.94285357
5,19,0.23437500,0.86792453,0.07697991
5,20,0.20312500,0.86792453,0.59886547
5,21,0.51562500,0.86792453,0.28975145
5,22,0.39062500,0.86792453,0.69478494
5,23,0.98437500,0.86792453,0.16122129
5,24,0.07812500,0.86792453,0.88046784
5,25,0.48437500,0.86792453,0.92969765
5,26,0.54687500,0.86792453,0.62435404
5,27,0.10937500,0.86792453,0.80812038
5,28,0.57812500,0.86792453,0.29563369
5,29,0.45312500,0.86792453,0.63340376
5,30,0.17187500,0.86792453,0.10549426
5,31,0.42187500,0.86792453,0.87146059
5,32,0.70312500,0.86792453,0.45653457
5,33,0.79687500,0.86792453,0.80367208
5,34,0.42187500,0.86792453,0.21844044
5,35,0.54687500,0.86792453,0.18657006
5,36,0.04687500,0.86792453,0.41650995
5,37,0.57812500,0.86792453,0.89255900
5,38,0.23437500,0.86792453,0.88328026
5,39,0.89062500,0.86792453,0.53934224
5,40,0.76562500,0.86792453,0.32434502
5,41,0.76562500,0.86792453,0.80744016
5,42,0.45312500,0.86792453,0.12208795
5,43,0.51562500,0.86792453,0.89609130
5,44,0.64062500,0.86792453,0.35629784
5,45,0.35937500,0.86792453,0.31800347
5,46,0.23437500,0.86792453,0.90682845
5,47,0.42187500,0.86792453,0.11005192
5,48,0.32812500,0.86792453,0.27213225
5,49,0.20312500,0.86792453,0.22793516
5,50,0.14062500,0.86792453,0.64769012
6,1,0.07812500,0.88679245,0.42710780
6,2,0.23437500,0.88679245,0.00052038
6,3,0.79687500,0.88679245,0.81801477
6,4,0.14062500,0.88679245,0.35256885
6,5,0.42187500,0.88679245,0.86073058
6,6,0.07812500,0.88679245,0.30478126
6,7,0.26562500,0.88679245,0.00695213
6,8,0.45312500,0.88679245,0.16465585
6,9,0.51562500,0.88679245,0.51074730
6,10,0.14062500,0.88679245,0.53408942
6,11,0.48437500,0.88679245,0.41741100
6,12,0.60937500,0.88679245,0.48482998
6,13,0.85937500,0.88679245,0.22210781
6,14,0.32812500,0.88679245,0.69243603
6,15,0.64062500,0.88679245,0.11986537
6,16,0.07812500,0.88679245,0.26941233
6,17,0.89062500,0.88679245,0.33761517
6,18,0.57812500,0.88679245,0.24412552
6,19,0.64062500,0.88679245,0.94290971
6,20,0.54687500,0.88679245,0.16829105
6,21,0.92187500,0.88679245,0.32320294
6,22,0.35937500,0.88679245,0.21876422
6,23,0.95312500,0.88679245,0.51879062
6,24,0.35937500,0.88679245,0.55810200
6,25,0.64062500,0.88679245,0.70301896
6,26,0.07812500,0.88679245,0.40383617
6,27,0.01562500,0.88679245,0.36362961
6,28,0.60937500,0.88679245,0.06489225
6,29,0.10937500,0.88679245,0.97178208
6,30,0.89062500,0.88679245,0.25391541
6,31,0.82812500,0.88679245,0.96244730
6,32,0.85937500,0.88679245,0.24687606
6,33,0.89062500,0.88679245,0.25178230
6,34,0.82812500,0.88679245,0.69630427
6,35,0.51562500,0.88679245,0.49724850
6,36,0.39062500,0.88679245,0.71227059
6,37,0.54687500,0.88679245,0.30087831
6,38,0.76562500,0.88679245,0.14808693
6,39,0.10937500,0.88679245,0.28484049
6,40,0.60937500,0.88679245,0.99774049
6,41,0.10937500,0.88679245,0.03688695
6,42,0.85937500,0.88679245,0.26678102
6,43,0.29687500,0.88679245,0.60956433
6,44,0.23437500,0.88679245,0.97661495
6,45,0.76562500,0.88679245,0.50267902
6,46,0.20312500,0.88679245,0.41103702
6,47,0.07812500,0.88679245,0.05147876
6,48,0.17187500,0.88679245,0.03305074
6,49,0.42187500,0.88679245,0.27864646
6,50,0.60937500,0.88679245,0.34507125
7,1,0.57812500,0.90566038,0.90826588
7,2,0.73437500,0.90566038,0.63435134
7,3,0.29687500,0.90566038,0.23956189
7,4,0.64062500,0.90566038,0.68070546
7,5,0.92187500,0.90566038,0.14489487
